施設名,郵便番号,都道府県名,市名,区名,住所,電話番号,FAX番号,緯度,経度,ホームページURL,最寄り駅①,最寄り駅②,最寄りのバス停②,最寄りのバス停③
百舌鳥支援学校,591-8033,大阪府,堺市,北区,北区百舌鳥西之町1丁124,072-252-3081,072-252-8440,34.54855647,135.4878194,http://www.sakai.ed.jp/mozu-shien/,JR阪和線　百舌鳥駅,JR阪和線　上野芝駅,南海バス　向ケ丘,
百舌鳥支援学校分,590-0801,大阪府,堺市,堺区,堺区大仙中町11-2,072-244-5940,072-243-0619,34.56144762,135.4776627,http://www.sakai.ed.jp/mozu-shienbunko/,JR阪和線　百舌鳥駅,,南海バス　大仙町,南海バス　工業学校前
上神谷支援学校,590-0134,大阪府,堺市,南区,南区御池台4丁24-1,072-298-2859,072-298-2861,34.45936897,135.5059908,http://www.sakai.ed.jp/niwadani-shien/,,,南海バス　御池台四丁南,
