KEY_CODE,人口総数,小地域,男,女,世帯総数
271420020,3789,堺市中区大野芝町,1895,1894,1494
271420030,447,堺市中区学園町,262,185,164
271420040,2410,堺市中区毛穴町,1185,1225,959
271420050,2451,堺市中区小阪,1154,1297,1013
271420060,495,堺市中区小阪西町,260,235,209
271420070,4087,堺市中区新家町,1963,2124,1592
271420100,1605,堺市中区田園,794,811,601
271420110,4259,堺市中区辻之,2075,2184,1648
271420120,4691,堺市中区陶器北,2297,2394,1687
271420130,7141,堺市中区土塔町,3429,3712,2380
271420140,1589,堺市中区楢葉,799,790,595
271420150,8349,堺市中区土師町,4188,4161,3298
27142015001,1779,堺市中区土師町１丁,905,874,791
27142015002,1825,堺市中区土師町２丁,901,924,723
27142015003,2251,堺市中区土師町３丁,1120,1131,825
27142015004,1118,堺市中区土師町４丁,555,563,437
27142015005,1376,堺市中区土師町５丁,707,669,522
271420160,1613,堺市中区八田寺町,778,835,608
271420170,5068,堺市中区八田北町,2451,2617,1966
271420180,3533,堺市中区八田西町,1667,1866,1554
27142018001,8,堺市中区八田西町１丁,5,3,3
27142018002,2444,堺市中区八田西町２丁,1137,1307,1101
27142018003,1081,堺市中区八田西町３丁,525,556,450
271420190,1202,堺市中区八田南之町,546,656,304
271420200,1102,堺市中区東八田,527,575,442
271420210,5823,堺市中区東山,2842,2981,2205
271420220,2648,堺市中区平井,1302,1346,903
271420230,5691,堺市中区深井北町,2566,3125,2038
271420240,3490,堺市中区深井沢町,1674,1816,1762
271420250,5910,堺市中区深井清水町,2893,3017,2561
271420260,7980,堺市中区深井中町,3901,4079,3233
271420270,3193,堺市中区深井畑山町,1539,1654,1103
271420280,2598,堺市中区深井東町,1274,1324,1005
271420290,3153,堺市中区深井水池町,1565,1588,1365
271420300,5901,堺市中区深阪,2909,2992,2257
27142030001,1263,堺市中区深阪１丁,616,647,467
27142030002,1155,堺市中区深阪２丁,564,591,462
27142030003,721,堺市中区深阪３丁,339,382,252
27142030004,1211,堺市中区深阪４丁,611,600,466
27142030005,542,堺市中区深阪５丁,272,270,222
27142030006,1009,堺市中区深阪６丁,507,502,388
271420310,13319,堺市中区福田,6406,6913,4997
271420320,1592,堺市中区伏尾,711,881,535
271420330,3381,堺市中区堀上町,1651,1730,1329
271420340,779,堺市中区見野山,364,415,251
271420360,3829,堺市中区宮園町,1623,2206,1964
27143,85189,堺市東区,40457,44732,34722
271430010,1550,堺市東区石原町,751,799,523
27143001001,12,堺市東区石原町１丁,6,6,3
27143001002,45,堺市東区石原町２丁,21,24,14
27143001003,565,堺市東区石原町３丁,269,296,168
27143001004,928,堺市東区石原町４丁,455,473,338
271430020,6040,堺市東区大美野,2821,3219,2364
271430030,9485,堺市東区北野田,4445,5040,3870
271430040,6045,堺市東区草尾,2939,3106,2357
271430050,2807,堺市東区丈六,1305,1502,1144
271430060,4208,堺市東区白鷺町,2074,2134,2365
27143006001,2057,堺市東区白鷺町１丁,1037,1020,1367
27143006002,1273,堺市東区白鷺町２丁,606,667,624
27143006003,878,堺市東区白鷺町３丁,431,447,374
271430070,561,堺市東区関茶屋,281,280,206
271430080,4876,堺市東区高松,2279,2597,1910
271430090,1398,堺市東区中茶屋,636,762,537
271430100,5142,堺市東区西野,2435,2707,2093
271430110,5075,堺市東区野尻町,2441,2634,2066
271430120,4086,堺市東区日置荘北町,1946,2140,1701
27143012000,154,堺市東区日置荘北町,63,91,67
27143012001,1197,堺市東区日置荘北町１丁,558,639,507
27143012002,1349,堺市東区日置荘北町２丁,638,711,563
27143012003,1386,堺市東区日置荘北町３丁,687,699,564
271430130,1695,堺市東区日置荘田中町,798,897,608
271430140,11006,堺市東区日置荘西町,5253,5753,4587
27143014001,1123,堺市東区日置荘西町１丁,526,597,494
27143014002,1715,堺市東区日置荘西町２丁,840,875,679
27143014003,1590,堺市東区日置荘西町３丁,713,877,678
27143014004,950,堺市東区日置荘西町４丁,459,491,399
27143014005,1605,堺市東区日置荘西町５丁,776,829,717
27143014006,1959,堺市東区日置荘西町６丁,943,1016,792
27143014007,1862,堺市東区日置荘西町７丁,896,966,762
27143014008,202,堺市東区日置荘西町８丁,100,102,66
271430150,3878,堺市東区日置荘原寺町,1877,2001,1654
271430160,4649,堺市東区引野町,2215,2434,1851
27143016001,1477,堺市東区引野町１丁,730,747,514
27143016002,1782,堺市東区引野町２丁,839,943,698
27143016003,1390,堺市東区引野町３丁,646,744,639
271430170,6081,堺市東区菩提町,2902,3179,2329
27143017001,1294,堺市東区菩提町１丁,626,668,504
27143017002,1041,堺市東区菩提町２丁,486,555,350
